_id,jobUrl,isFullRemote,isPartner,companyId,longitude,latitude,cityCategory,stateCategory,tier,logoImg,activeFrom,expiresOn,companyWebsiteLink,candidateContactWay,redirectJobUrl,company,address,actualCity,postalCode,companyType,companySize,hasVisaSponsorship,language,perkKeys/0,perkKeys/1,perkKeys/2,offerStockOrBonus,name,jobType,expLevel,annualSalaryFrom,annualSalaryTo,techCategory,technologies/0,technologies/1,technologies/2,technologies/3,technologies/4,filterTags/0,filterTags/1,filterTags/2,filterTags/3,filterTags/4,filterTags/5,filterTags/6,filterTags/7,filterTags/8,perkKeys/3,perkKeys/4,perkKeys/5,perkKeys/6,technologies/5,technologies/6,technologies/7,disableMethodology,technologies/8,technologies/9,technologies/10,technologies/11,technologies/12,technologies/13,technologies/14,technologies/15,technologies/16,technologies/17,technologies/18,technologies/19,technologies/20,technologies/21,technologies/22,technologies/23,technologies/24,technologies/25,technologies/26,technologies/27,filterTags/9,filterTags/10,filterTags/11,filterTags/12,filterTags/13,filterTags/14,filterTags/15,filterTags/16,filterTags/17,filterTags/18,filterTags/19,filterTags/20,filterTags/21,filterTags/22,filterTags/23,filterTags/24,filterTags/25,filterTags/26,filterTags/27,perkKeys/7,perkKeys/8,perkKeys/9,perkKeys/10,perkKeys/11,perkKeys/12,filterTags/28,filterTags/29,filterTags/30,filterTags/31,filterTags/32,filterTags/33,filterTags/34,perkKeys/13,perkKeys/14,perkKeys/15,perkKeys/16,perkKeys/17,perkKeys/18,perkKeys/19,perkKeys/20,perkKeys/21,perkKeys/22,perkKeys/23,companyPageUrl,cpc,isPaused,technologies/28,technologies/29,technologies/30,technologies/31,technologies/32,technologies/33,technologies/34,technologies/35,technologies/36,technologies/37,filterTags/35,filterTags/36,filterTags/37,technologies/38,technologies/39,technologies/40,technologies/41,filterTags/38,filterTags/39,filterTags/40,filterTags/41
6447d95de5702a9c751c8d21,Quora-Senior-Android-Engineer---Poe-Remote,true,false,6447d11793bd0e7abc01b417,-122.0796848,37.3926387,San-Jose,California,basic,quora-logo-1682428523998.jpg,2023-07-20T00:00:00.000+02:00,2023-06-28T00:00:00.000+02:00,quora.com,CompanyWebsite,https://jobs.ashbyhq.com/quora?utm_source=DevITJobsInb,Quora,605 Castro St,Mountain View,94041,Startup,200-500,No,English,remotefull,equity,startupculture,true,Senior Android Engineer - Poe (Remote),Full-Time,Senior,135000,165000,Mobile,Android,GraphQL,Kotlin,Python,TypeScript,Android,Java,JavaScript,Kotlin,Mobile,Python,TypeScript,UX UI Design,GraphQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61b1b3b774413e0016d4e7f1,GeaCom-Inc-Senior-Software-EngineerTeam-Lead,false,,61a7a0fcc8365d00168f1499,-92.08064208,46.79901185,Duluth,Minnesota,,geacom-inc-logo.jpg,2023-07-19T14:39:57.705+02:00,,,Email,,"GeaCom, Inc.","1502 London Road, Suite 220",Duluth,55812,Product,<50,No,English,wweek40,careerpath,remote2day,true,Senior Software Engineer/Team Lead,Full-Time,Lead,95000,125000,Mobile,Java,Android,GraphQL,MongoDB,React,Android,Firmware,GraphQL,MongoDB,Security,NodeJS,Java,Mobile,React,quietoffice,sweets,coffee,bonuspay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62454da3653261babad65676,Foursquare-Developer-Advocate,false,,624543b75c8eb9c1d2a16e4e,-73.9918122,40.7420624,New-York-City,New-York,,foursquare-logo.jpg,2023-07-19T14:39:56.898+02:00,,,CompanyWebsite,https://boards.greenhouse.io/foursquare26/jobs/3682711,Foursquare,"50 West 23rd Street, 8th Fl. ",New York,10010,Product,200-500,No,English,remotefull,teamevents,careerpath,false,Developer Advocate,Full-Time,Regular,90000,120000,Mobile,Cloud,GitHub,Marketing,Mobile,API,Cloud,Marketing,Mobile,API,Data-Engineer,Git,GitHub,Slack,,,,,,Data-Engineer,Git,Slack,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62454d9e653261babad6566e,Foursquare-Engineering-Manager---Places,false,,624543b75c8eb9c1d2a16e4e,-73.9918122,40.7420624,New-York-City,New-York,,foursquare-logo.jpg,2023-07-19T14:39:56.591+02:00,,,CompanyWebsite,https://boards.greenhouse.io/foursquare26/jobs/4072077,Foursquare,"50 West 23rd Street, 8th Fl. ",New York,10010,Product,200-500,No,English,remotefull,teamevents,careerpath,false,Engineering Manager - Places,Full-Time,Regular,70000,100000,Manager,Backend,Cloud,Frontend,Git,Marketing,Backend,Cloud,Frontend,Git,Marketing,Maven,REST,,,,,,,Maven,REST,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62454d92653261babad6565d,Foursquare-Security-Engineer-,false,,624543b75c8eb9c1d2a16e4e,-73.9918122,40.7420624,New-York-City,New-York,,foursquare-logo.jpg,2023-07-19T14:39:56.107+02:00,,,CompanyWebsite,https://boards.greenhouse.io/foursquare26/jobs/3986198,Foursquare,"50 West 23rd Street, 8th Fl. ",New York,10010,Product,200-500,No,English,remotefull,teamevents,careerpath,false,Security Engineer ,Full-Time,Senior,90000,120000,Security,Airflow,AWS,Azure,Cloud,Clojure,Airflow,AWS,Azure,Cloud,Clojure,Docker,GCP,Java,Kubernetes,,,,,Docker,GCP,Java,true,Kubernetes,Linux,Marketing,Maven,MongoDB,Network,OAuth,Oracle,Python,REST,RBAC,Ruby,SAML,Scala,Security,Serverless,Spark,Spring,Spring Boot,Terraform,Marketing,Maven,OAuth,Oracle,Python,REST,RBAC,Ruby,SAML,Scala,Security,Serverless,Spark,Spring,Spring Boot,Terraform,Linux,MongoDB,Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62454d8d653261babad65654,Foursquare-Senior-Data-Scientist-,false,,624543b75c8eb9c1d2a16e4e,-73.9918122,40.7420624,New-York-City,New-York,,foursquare-logo.jpg,2023-07-19T14:39:55.473+02:00,,,CompanyWebsite,https://boards.greenhouse.io/foursquare26/jobs/2187583,Foursquare,"50 West 23rd Street, 8th Fl. ",New York,10010,Product,200-500,No,English,remotefull,teamevents,careerpath,false,Senior Data Scientist ,Full-Time,Regular,130000,160000,Data,Big Data,Cloud,Computer Vision,Java,Keras,Big Data,Cloud,Computer Vision,Java,Keras,Machine Learning,Marketing,Maven,PyTorch,,,,,Machine Learning,Marketing,Maven,true,PyTorch,Python,REST,Scala,Spark,TensorFlow,,,,,,,,,,,,,,,Python,REST,Scala,Spark,TensorFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62454d87653261babad6564c,Foursquare-Senior-Full-Stack-Engineer-,false,,624543b75c8eb9c1d2a16e4e,-73.9918122,40.7420624,New-York-City,New-York,,foursquare-logo.jpg,2023-07-19T14:39:55.198+02:00,,,CompanyWebsite,https://boards.greenhouse.io/foursquare26/jobs/4004704,Foursquare,"50 West 23rd Street, 8th Fl. ",New York,10010,Product,200-500,No,English,remotefull,teamevents,careerpath,false,Senior Full Stack Engineer ,Full-Time,Regular,140000,160000,JavaScript,Cloud,Java,JavaScript,Marketing,Maven,Cloud,Java,JavaScript,Marketing,Maven,Nexus,REST,Rails,React,,,,,Nexus,REST,Rails,true,React,Ruby,Vue,,,,,,,,,,,,,,,,,,Ruby,Vue,Fullstack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62454d7c653261babad6563b,Foursquare-Senior-Machine-Learning-Engineer,false,,624543b75c8eb9c1d2a16e4e,-73.9918122,40.7420624,New-York-City,New-York,,foursquare-logo.jpg,2023-07-19T14:39:54.841+02:00,,,CompanyWebsite,https://boards.greenhouse.io/foursquare26/jobs/3910177,Foursquare,"50 West 23rd Street, 8th Fl. ",New York,10010,Product,200-500,No,English,remotefull,teamevents,careerpath,false,Senior Machine Learning Engineer,Full-Time,Senior,150000,170000,Machine-Learning,Airflow,Big Data,Cloud,Docker,Java,Airflow,Big Data,Cloud,Docker,Java,Machine Learning,Marketing,Maven,Python,,,,,Kubernetes,Machine Learning,Marketing,true,Maven,Python,REST,Scala,Spark,,,,,,,,,,,,,,,,REST,Scala,Spark,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62454d81653261babad65642,Foursquare-Senior-iOS-Engineer,false,,624543b75c8eb9c1d2a16e4e,-73.9918122,40.7420624,New-York-City,New-York,,foursquare-logo.jpg,2023-07-19T14:39:54.423+02:00,,,CompanyWebsite,https://boards.greenhouse.io/foursquare26/jobs/3576849,Foursquare,"50 West 23rd Street, 8th Fl. ",New York,10010,Product,200-500,No,English,remotefull,teamevents,careerpath,false,Senior iOS Engineer,Full-Time,Senior,140000,160000,Mobile,Android,Cloud,Marketing,Maven,Mobile,Android,Cloud,Marketing,Maven,Mobile,MVVM,REST,Swift,UIKit,,,,,MVVM,REST,Swift,true,UIKit,iOS,,,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62454d77653261babad65635,Foursquare-Senior-Mobile-Engineer,false,,624543b75c8eb9c1d2a16e4e,-73.9918122,40.7420624,New-York-City,New-York,,foursquare-logo.jpg,2023-07-19T14:39:54.006+02:00,,,CompanyWebsite,https://boards.greenhouse.io/foursquare26/jobs/4014162,Foursquare,"50 West 23rd Street, 8th Fl. ",New York,10010,Product,200-500,No,English,remotefull,teamevents,careerpath,false,Senior Mobile Engineer,Full-Time,Senior,150000,170000,Mobile,Android,Cloud,Marketing,Maven,Mobile,Android,Cloud,Marketing,Maven,Mobile,MVVM,REST,Swift,UIKit,,,,,MVVM,REST,Swift,true,UIKit,iOS,,,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
